date,product_sku,price,store,is_promo_item,member_promo,quantity
11/29/2019,sku021,147454.56,storeA013,FALSE,TRUE,18
1/15/2020,sku022,4303058.84,storeA006,TRUE,FALSE,3
1/28/2020,sku023,1742713.52,storeA017,TRUE,FALSE,9
12/5/2019,sku024,4656476.03,storeA007,FALSE,TRUE,8
1/4/2020,sku025,4774574.3,storeA015,FALSE,FALSE,1
1/27/2020,sku026,414918.09,storeA012,FALSE,TRUE,7
1/25/2020,sku027,582717.99,storeA014,FALSE,TRUE,6
12/5/2019,sku028,2925846.64,storeA004,TRUE,FALSE,6
1/7/2020,sku029,490201.52,storeA002,TRUE,FALSE,1
11/29/2019,sku030,1376785.02,storeA007,FALSE,TRUE,13
1/1/2020,sku031,650517.59,storeA002,FALSE,,18
1/24/2020,sku032,2125677.66,storeA011,TRUE,TRUE,9
12/20/2019,sku033,4282096.84,storeA011,TRUE,TRUE,15
11/20/2019,sku034,1604794.79,storeA015,FALSE,TRUE,19
1/21/2020,sku035,540179.49,storeA016,FALSE,FALSE,10
12/1/2019,sku036,2142773.49,,,TRUE,
12/5/2019,sku037,506373.9,storeA021,FALSE,TRUE,19
1/24/2020,,,storeA027,TRUE,FALSE,7
11/27/2019,sku039,4922293,storeA012,FALSE,,6
11/15/2019,sku040,2847936.18,storeA011,TRUE,,16
1/5/2020,sku041,2942773.84,storeA001,TRUE,TRUE,11
12/16/2019,sku042,3107034.41,storeA009,TRUE,TRUE,18
,sku043,2798165.64,storeA004,TRUE,FALSE,13
12/11/2019,sku044,3855276.18,storeA015,FALSE,FALSE,12
1/29/2020,sku045,3692805.85,storeA005,TRUE,FALSE,12
1/17/2020,sku046,733122.61,storeA016,TRUE,TRUE,20
12/11/2019,sku047,4676435.16,storeA010,TRUE,FALSE,19
1/24/2020,sku048,2693342.94,storeA012,TRUE,TRUE,5
1/1/2020,sku049,1962795.61,storeA010,TRUE,,10
1/9/2020,sku050,3252066.69,storeA014,FALSE,TRUE,8
11/25/2019,sku051,1549717.61,storeA011,FALSE,TRUE,12
11/8/2019,sku021,2545556.73,storeA001,FALSE,TRUE,14
12/27/2019,sku022,1377668.71,storeA005,FALSE,FALSE,17
1/30/2020,sku023,4107783.13,storeA013,FALSE,TRUE,18
11/2/2019,sku024,294134.51,storeA005,FALSE,TRUE,16
1/2/2020,sku025,2585207.13,storeA021,TRUE,FALSE,6
12/12/2019,sku026,998986.13,storeA007,FALSE,FALSE,19
12/13/2019,sku027,1643932.26,storeA023,TRUE,FALSE,11
11/30/2019,sku028,3333575.94,storeA003,TRUE,TRUE,12
11/30/2019,sku029,1972465.33,storeA004,FALSE,FALSE,18
12/1/2019,sku030,1162127.01,storeA019,TRUE,FALSE,3
1/10/2020,sku031,1051079.48,storeA011,TRUE,FALSE,19
11/1/2019,sku032,4085434.3,storeA005,FALSE,FALSE,14
12/18/2019,sku033,657515.97,storeA009,FALSE,TRUE,15
1/20/2020,,,storeA004,TRUE,FALSE,8
11/3/2019,sku035,1619625.97,storeA011,TRUE,TRUE,13
12/13/2019,sku036,2481682.88,storeA002,FALSE,FALSE,1
1/6/2020,sku037,4178707.17,storeA007,TRUE,FALSE,15
11/16/2019,sku038,2752401.63,storeA007,FALSE,FALSE,8
11/14/2019,sku039,3198711.39,storeA002,FALSE,FALSE,18
11/19/2019,sku040,2852011.62,storeA027,FALSE,TRUE,14
1/22/2020,,,storeA005,TRUE,FALSE,7
12/2/2019,sku042,953688.07,storeA009,TRUE,FALSE,7
1/10/2020,sku043,692362.5,storeA025,TRUE,FALSE,12
11/28/2019,sku044,3049754.3,storeA007,TRUE,FALSE,16
11/4/2019,sku045,724160.68,storeA025,FALSE,FALSE,10
1/27/2020,sku046,4040118.69,storeA012,TRUE,FALSE,1
1/30/2020,sku047,897736.7,storeA009,TRUE,FALSE,15
1/11/2020,,,storeA007,TRUE,TRUE,20
11/2/2019,sku049,1371317.26,storeA001,FALSE,TRUE,6
